codigo,municipio,departamento,poblacion
31206,Entre Ríos,Cochabamba,45780
31301,Mizque,Cochabamba,19896
31302,Vila Vila,Cochabamba,5244
31303,Alalay,Cochabamba,3512
31304,TIOC Raqaypampa,Cochabamba,8056
31401,Punata,Cochabamba,35248
31402,Villa Rivero,Cochabamba,8599
31403,San Benito,Cochabamba,13054
31404,Tacachi,Cochabamba,1287
31405,Villa Gualberto Villarroel,Cochabamba,3822
31501,Bolivar,Cochabamba,8282
31601,Tiraque,Cochabamba,18475
31602,Shinahota                               ,Cochabamba,27172
40101,Oruro,Oruro,298350
40102,Caracollo,Oruro,22850
40103,El Choro,Oruro,9997
40104,Paria,Oruro,15764
40201,Challapata,Oruro,35427
40202,Santuario de Quillacas,Oruro,5161
40301,Corque,Oruro,16101
40302,Choquecota                              ,Oruro,2504
40401,Curahuara de Carangas,Oruro,6683
40402,Turco,Oruro,5803
40501,Huachacalla,Oruro,4011
40502,Escara,Oruro,4231
40503,Cruz de Machacamarca,Oruro,1517
40504,Yunguyo del Litoral,Oruro,875
40505,Esmeralda,Oruro,3882
40601,Poopó,Oruro,9189
40602,Pazña,Oruro,4251
40603,Antequera                               ,Oruro,3666
40701,Huanuni,Oruro,20118
40702,Machacamarca,Oruro,6120
40801,AIOC de Salinas,Oruro,15934
40802,Pampa Aullagas,Oruro,3197
40901,Sabaya,Oruro,15504
40902,Coipasa,Oruro,1406
40903,AIOC Uru Chipaya,Oruro,2355
41001,Toledo,Oruro,12202
41101,Eucaliptus,Oruro,5335
41201,Andamarca                               ,Oruro,6311
41202,Belén de Andamarca,Oruro,3061
41301,Totora,Oruro,6637
41401,Santiago de Huari,Oruro,13502
41501,La Rivera,Oruro,1262
41502,Todos Santos,Oruro,1140
41503,Carangas,Oruro,1129
41601,Santiago de Huayllamarca,Oruro,5996
50101,Potosí,Potosí,218702
50102,Tinguipaya,Potosí,28942
50103,Yocalla,Potosí,12253
50104,Urmiri,Potosí,3121
50201,Uncía,Potosí,22768
50202,Chayanta,Potosí,16021
50203,Llallagua,Potosí,41686
50204,Chuquihuta Ayllu Jucumani               ,Potosí,8220
50301,Betanzos,Potosí,31904
50302,Chaquí,Potosí,9285
50303,Tacobamba,Potosí,14366
50401,Colquechaca,Potosí,16363
50402,Ravelo,Potosí,16909
50403,Pocoata,Potosí,32641
50404,Ocurí,Potosí,14532
50405,San Pedro de Macha,Potosí,21011
50501,San Pedro,Potosí,28416
50502,Toro Toro,Potosí,10714
50601,Cotagaita,Potosí,29221
50602,Vitiche,Potosí,10184
50701,Sacaca,Potosí,17205
50702,Caripuyo,Potosí,8458
50801,Tupiza,Potosí,45590
50802,Atocha,Potosí,9610
50901,"Colcha ""K""",Potosí,12740
50902,San Pedro de Quemes,Potosí,1621
51001,San Pablo,Potosí,3150
51002,Mojinete,Potosí,1025
51003,San Antonio de Esmoruco,Potosí,1936
51101,Puna,Potosí,16389
51102,"Caiza ""D""",Potosí,12999
51103,Ckochas                                 ,Potosí,14338
51201,Uyuni,Potosí,35318
51202,Tomave,Potosí,7845
51203,Porco,Potosí,14654
51204,TIOC Jatun Ayllu Yura,Potosí,5819
51301,Arampampa,Potosí,3666
51302,Acasio,Potosí,4471
51401,Llica,Potosí,4187
51402,Tahua,Potosí,1546
51501,Villazón,Potosí,49340
51601,San Agustín,Potosí,2126
60101,Tarija,Tarija,238749
60201,Padcaya,Tarija,17817
60202,Bermejo,Tarija,36970
60301,Yacuiba,Tarija,97634
60302,Caraparí,Tarija,15559
60303,Villa Montes                            ,Tarija,46071
60401,Uriondo,Tarija,15923
60402,Yunchará,Tarija,4754
60501,San Lorenzo,Tarija,30346
60502,El Puente,Tarija,9523
60601,Entre Ríos,Tarija,20864
70101,Santa Cruz de La Sierra,Santa Cruz,1610982
70102,Cotoca,Santa Cruz,106603
70103,Porongo,Santa Cruz,23126
70104,La Guardia,Santa Cruz,147726
70105,El Torno,Santa Cruz,55697
70201,Warnes,Santa Cruz,151248
70202,Okinawa Uno,Santa Cruz,10665
70301,San Ignacio,Santa Cruz,67103
70302,San Miguel,Santa Cruz,15239
70303,San Rafael,Santa Cruz,8842
70401,Buena Vista,Santa Cruz,13651
70402,San Carlos,Santa Cruz,18942
70403,Yapacaní                                ,Santa Cruz,57794
70404,San Juan,Santa Cruz,10200
70501,San José                                ,Santa Cruz,40974
70502,Pailón,Santa Cruz,54495
70503,Roboré,Santa Cruz,18763
70601,Portachuelo,Santa Cruz,20743
70602,Santa Rosa,Santa Cruz,17999
70603,Colpa Bélgica,Santa Cruz,6007
70701,Lagunillas,Santa Cruz,5946
70702,AIOC Charagua Iyambae,Santa Cruz,38420
70703,Cabezas,Santa Cruz,32961
70704,Cuevo,Santa Cruz,5335
70705,AIOC Guaraní Kereimba Iyaambae,Santa Cruz,14389
70706,Camiri,Santa Cruz,32285
70707,Boyuibe,Santa Cruz,5612
70801,Vallegrande,Santa Cruz,17249
70802,Trigal,Santa Cruz,2359
70803,Moromoro,Santa Cruz,2793
70804,Postrervalle,Santa Cruz,1806
70805,Pucará,Santa Cruz,2015
70901,Samaipata,Santa Cruz,11843
70902,Pampagrande,Santa Cruz,9692
70903,Mairana,Santa Cruz,12735
70904,Quirusillas,Santa Cruz,3086
71001,Montero,Santa Cruz,126886
71002,General Saavedra,Santa Cruz,16598
71003,Mineros,Santa Cruz,23110
71004,Fernández Alonso,Santa Cruz,14610
71005,San Pedro                               ,Santa Cruz,15246
71101,Concepción,Santa Cruz,30118
71102,San Javier                              ,Santa Cruz,14888
71103,San Ramón,Santa Cruz,44909
71104,San Julián,Santa Cruz,6364
71105,San Antonio de Lomerio,Santa Cruz,8541
71106,Cuatro Cañadas,Santa Cruz,25258
71201,San Matías,Santa Cruz,15378
71301,Comarapa,Santa Cruz,17195
71302,Saipina,Santa Cruz,6048
71401,Puerto Suarez,Santa Cruz,17417
71402,Puerto Quijarro,Santa Cruz,17974
71403,El Carmen Rivero Tórrez,Santa Cruz,8816
71501,Ascención de Guarayos,Santa Cruz,34079
71502,Urubicha,Santa Cruz,6555
71503,El Puente,Santa Cruz,17290
80101,Trinidad,Beni,128589
80102,San Javier,Beni,7913
80201,Riberalta,Beni,110302
80202,Guayaramerín                            ,Beni,42031
80301,Reyes,Beni,11478
80302,San Borja                               ,Beni,45798
80303,Santa Rosa,Beni,11122
80304,Puerto Menor de Rurrenabaque,Beni,21240
80401,Santa Ana                               ,Beni,18088
80402,Exaltación                              ,Beni,8012
80501,San Ignacio,Beni,21584
80601,Loreto,Beni,4269
80602,San Andrés,Beni,15570
80701,San Joaquín,Beni,6808
80702,San Ramón,Beni,5489
80703,Puerto Siles,Beni,1091
80801,Magdalena                               ,Beni,12785
80802,Baures,Beni,7488
80803,Huacaraje,Beni,4630
90101,Cobija,Pando,55114
90102,Porvenir,Pando,9353
90103,Bolpebra,Pando,2437
90104,Bella Flor                              ,Pando,3630
90201,Puerto Rico,Pando,7367
90202,San Pedro                               ,Pando,3518
90203,Filadelfia,Pando,8045
90301,Puerto Gonzalo Moreno,Pando,12431
90302,San Lorenzo                             ,Pando,9832
90303,Sena,Pando,10522
90401,Santa Rosa,Pando,2889
90402,Ingavi                                  ,Pando,2600
90501,Nueva Esperanza,Pando,1598
90502,Villa Nueva                             ,Pando,2511
90503,Santos Mercado                          ,Pando,2347
