codigo,municipio,departamento,poblacion
10101,Sucre,Chuquisaca,296746
10102,Yotala,Chuquisaca,9256
10103,Poroma,Chuquisaca,13649
10201,Azurduy,Chuquisaca,7903
10202,Tarvita,Chuquisaca,16812
10301,Zudañez,Chuquisaca,13694
10302,Presto,Chuquisaca,12539
10303,Mojocoya,Chuquisaca,9055
10304,Icla,Chuquisaca,9155
10401,Padilla,Chuquisaca,9192
10402,Tomina,Chuquisaca,8509
10403,Sopachuy,Chuquisaca,6942
10404,Alcalá,Chuquisaca,3768
10405,El Villar,Chuquisaca,5654
10501,Monteagudo,Chuquisaca,24546
10502,Huacareta                               ,Chuquisaca,7200
10601,Tarabuco,Chuquisaca,13323
10602,Yamparáez,Chuquisaca,8480
10701,Camargo,Chuquisaca,14713
10702,San Lucas,Chuquisaca,26715
10703,Incahuasi,Chuquisaca,16484
10704,Villa Charcas                           ,Chuquisaca,14282
10801,Villa Serrano                           ,Chuquisaca,9107
10901,Villa Abecia,Chuquisaca,5375
10902,Culpina,Chuquisaca,14848
10903,Las Carreras,Chuquisaca,5016
11001,Villa Vaca Guzmán,Chuquisaca,13282
11002,TIOC Guaraní Chaqueño de Huacaya,Chuquisaca,2547
11003,Macharetí,Chuquisaca,7235
20101,Nuestra Señora de La Paz,La Paz,757431
20102,Palca,La Paz,21729
20103,Mecapaca,La Paz,20446
20104,Achocalla                               ,La Paz,46188
20105,El Alto,La Paz,885825
20201,Achacachi,La Paz,47257
20202,Villa Ancoraimes,La Paz,16953
20203,Chua Cocani                             ,La Paz,8679
20204,Huarina,La Paz,9287
20205,Santiago de Huata                       ,La Paz,5118
20206,Huatajata                               ,La Paz,7226
20301,Corocoro,La Paz,13551
20302,Caquiaviri,La Paz,15570
20303,Calacoto,La Paz,12219
20304,Comanche,La Paz,5238
20305,Charaña,La Paz,4221
20306,Waldo Ballivian                         ,La Paz,6442
20307,Nazacara de Pacajes                     ,La Paz,4022
20308,Santiago de Callapa,La Paz,8037
20401,Puerto Acosta                           ,La Paz,14012
20402,Mocomoco,La Paz,17811
20403,Puerto Mayor de Carabuco,La Paz,17336
20404,Humanata                                ,La Paz,5658
20405,Escoma                                  ,La Paz,8837
20501,Chuma,La Paz,17830
20502,Ayata,La Paz,9029
20503,Aucapata,La Paz,6721
20601,Sorata,La Paz,30083
20602,Guanay,La Paz,16386
20603,Tacacoma,La Paz,9761
20604,Quiabaya,La Paz,4224
20605,Combaya,La Paz,3529
20606,Tipuani,La Paz,7716
20607,Mapiri,La Paz,21843
20608,Teoponte,La Paz,13379
20701,Apolo,La Paz,19156
20702,Pelechuco,La Paz,9060
20801,Viacha,La Paz,113554
20802,Puerto Mayor de Guaqui,La Paz,8592
20803,Tiahuanacu,La Paz,13648
20804,Desaguadero,La Paz,7897
20805,La (Marka) San Andrés de Machaca,La Paz,7936
20806,Jesús de Machaka,La Paz,17016
20807,Taraco,La Paz,7540
20901,Luribay,La Paz,10703
20902,Sapahaqui,La Paz,16497
20903,Yaco,La Paz,12296
20904,Malla,La Paz,5297
20905,Cairoma,La Paz,13598
21001,Inquisivi,La Paz,18679
21002,Quime,La Paz,10887
21003,Cajuata,La Paz,15565
21004,Colquiri,La Paz,23505
21005,Ichoca,La Paz,9552
21006,Villa Libertad Licoma,La Paz,7877
21101,Chulumani,La Paz,18303
21102,Irupana,La Paz,23279
21103,Yanacachi,La Paz,7615
21104,Palos Blancos,La Paz,27137
21105,La Asunta,La Paz,45587
21201,Pucarani,La Paz,49850
21202,Laja,La Paz,38652
21203,Batallas,La Paz,20607
21204,Puerto Pérez,La Paz,7900
21301,Sicasica,La Paz,33885
21302,Umala,La Paz,9102
21303,Ayo Ayo,La Paz,11258
21304,Calamarca,La Paz,15327
21305,Patacamaya,La Paz,25148
21306,Colquencha,La Paz,12490
21307,Collana                                 ,La Paz,5526
21401,Coroico,La Paz,27711
21402,Coripata,La Paz,23530
21501,Ixiamas,La Paz,12595
21502,San Buenaventura,La Paz,10105
21601,Charazani                               ,La Paz,15763
21602,Curva,La Paz,6611
21701,Copacabana,La Paz,17463
21702,San Pedro de Tiquina,La Paz,9164
21703,Tito Yupanqui                           ,La Paz,7525
21801,San Pedro de Curahuara,La Paz,9217
21802,Papel Pampa,La Paz,6649
21803,Chacarilla,La Paz,2052
21901,Santiago de Machaca,La Paz,6805
21902,Catacora,La Paz,5351
22001,Caranavi,La Paz,59676
22002,Alto Beni                               ,La Paz,10585
30101,Cochabamba,Cochabamba,665505
30201,Aiquile,Cochabamba,23123
30202,Pasorapa,Cochabamba,6475
30203,Omereque,Cochabamba,6700
30301,Ayopaya,Cochabamba,21815
30302,Morochata,Cochabamba,14720
30303,Cocapata                                ,Cochabamba,19608
30401,Tarata,Cochabamba,11273
30402,Anzaldo,Cochabamba,7335
30403,Arbieto,Cochabamba,29375
30404,Sacabamba,Cochabamba,4987
30501,Arani,Cochabamba,11183
30502,Vacas,Cochabamba,8409
30601,Arque,Cochabamba,10632
30602,Tacopaya,Cochabamba,10750
30701,Capinota,Cochabamba,19427
30702,Santivañez,Cochabamba,7940
30703,Sicaya,Cochabamba,3980
30801,Cliza,Cochabamba,21155
30802,Toco,Cochabamba,7382
30803,Tolata,Cochabamba,8687
30901,Quillacollo,Cochabamba,166741
30902,Sipesipe,Cochabamba,55908
30903,Tiquipaya,Cochabamba,61840
30904,Vinto,Cochabamba,56064
30905,Colcapirhua,Cochabamba,66505
31001,Sacaba,Cochabamba,219092
31002,Colomi,Cochabamba,21846
31003,Villa Tunari,Cochabamba,93747
31101,Tapacarí,Cochabamba,24666
31201,Totora,Cochabamba,14821
31202,Pojo,Cochabamba,11865
31203,Pocona,Cochabamba,12258
31204,Chimoré,Cochabamba,27521
31205,Puerto Villarroel,Cochabamba,64595
